month,12am,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
January,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,19,19,19,19,12,12,12,12,12
February,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,19,19,19,19,12,12,12,12,12
March,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,19,19,19,19,12,12,12,12,12
April,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,19,19,19,19,12,12,12,12,12
May,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,19,19,19,19,12,12,12,12,12
June,12,12,12,12,12,12,12,12,12,12,12,12,12,20,20,29,29,29,29,12,12,12,12,12
July,12,12,12,12,12,12,12,12,12,12,12,12,12,20,20,29,29,29,29,12,12,12,12,12
August,12,12,12,12,12,12,12,12,12,12,12,12,12,20,20,29,29,29,29,12,12,12,12,12
September,12,12,12,12,12,12,12,12,12,12,12,12,12,20,20,29,29,29,29,12,12,12,12,12
October,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,19,19,19,19,12,12,12,12,12
November,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,19,19,19,19,12,12,12,12,12
December,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,19,19,19,19,12,12,12,12,12
