build_existing_model.cec_climate_zone,build_existing_model.geometry_stories,build_existing_model.geometry_stories_low_rise,build_existing_model.sample_weight,build_existing_model.occupants,report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_total_lb,report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_total_lb,report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_natural_gas_total_lb,report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_propane_total_lb,report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_heating_fans_pumps_lb,report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_heating_heat_pump_backup_fans_pumps_lb,report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_heating_heat_pump_backup_lb,report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_heating_lb,report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_hot_water_lb,report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_hot_water_recirc_pump_lb,report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_hot_water_solar_thermal_pump_lb,report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_natural_gas_heating_heat_pump_backup_lb,report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_natural_gas_heating_lb,report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_natural_gas_hot_water_lb,report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_propane_heating_heat_pump_backup_lb,report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_propane_heating_lb,report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_propane_hot_water_lb,total,electricity_hvac,natural_gas_hvac,propane_hvac,electricity_wh,natural_gas_wh,propane_wh
6,2,2,248.0,7,5753.88,2137.78,3616.1,0.0,0.0,0.0,0.0,434.19,0.0,0.0,0.0,0.0,0.0,3006.79,0.0,0.0,0.0,5753.88,434.19,0.0,0.0,0.0,3006.79,0.0
9,3,3,248.0,2,2685.32,1033.1,1652.22,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,1250.46,0.0,0.0,0.0,2685.3199999999997,0.38,9.2,0.0,0.0,1250.46,0.0
3,2,2,248.0,3,3708.38,1034.38,2674.0,0.0,17.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130.07,1328.98,0.0,0.0,0.0,3708.38,17.93,1130.07,0.0,0.0,1328.98,0.0
12,2,2,248.0,0,1500.23,574.06,926.16,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.03,793.13,0.0,0.0,0.0,1500.2199999999998,0.62,133.03,0.0,0.0,793.13,0.0
6,2,2,248.0,1,5842.3,2026.93,3815.37,0.0,28.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.67,2015.66,0.0,0.0,0.0,5842.3,28.13,1380.67,0.0,0.0,2015.66,0.0
9,3,3,248.0,2,4122.52,2047.61,2074.91,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.87,1637.48,0.0,0.0,0.0,4122.5199999999995,0.04,44.87,0.0,0.0,1637.48,0.0
13,3,3,248.0,2,4776.2,2823.94,1952.26,0.0,0.0,0.0,0.0,1424.04,0.0,0.0,0.0,0.0,0.0,1559.71,0.0,0.0,0.0,4776.2,1424.04,0.0,0.0,0.0,1559.71,0.0
2,2,2,248.0,2,2780.07,1666.19,1113.88,0.0,0.0,0.0,0.0,12.77,0.0,0.0,0.0,0.0,0.0,1113.88,0.0,0.0,0.0,2780.07,12.77,0.0,0.0,0.0,1113.88,0.0
3,3,3,248.0,2,2983.08,1228.09,1755.0,0.0,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.01,1284.94,0.0,0.0,0.0,2983.09,3.18,156.01,0.0,0.0,1284.94,0.0
11,2,2,248.0,5,9153.34,3454.89,5698.45,0.0,35.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1291.61,3779.71,0.0,0.0,0.0,9153.34,35.3,1291.61,0.0,0.0,3779.71,0.0
